"","Village","District","Latitude","Longitude","Elevation","Acres","Planting.year","Age","variety","Row.spacing..meter.","Plant.to.plant.spacing..meter.","Population.acre","Rainfed..irrigated","Irrigation.frequency","N.fert","Yield..Kgs.acre.","ID","dry_sumrain","dry_meantmax","dry_meantmin","dry_meanvpd","dry_sumsoil","wet_sumrain","wet_meantmax","wet_meantmin","wet_meanvpd","wet_sumsoil","Elevation_update","aspect"
"1","Kunjapanai","The Nilgiris",11.36357,76.93167,1058,30,1995,27,"S61","0.9 m","0.9 m",3700,"Rainfed","Nil","Urea",2800,"76.93167_11.36357",1057.5,31.375,20.2708333333333,1.35333333333333,567.7,3312.8,28.5625,20.1291666666667,0.780833333333333,1461.4,1037,91.4497202175205
"2","Kunjapanai","The Nilgiris",11.3641,76.93203,1048,1,2014,8,"S61","0.9 m","0.9 m",3700,"Rainfed","Nil","Urea",3000,"76.93203_11.3641",1057.5,31.375,20.2708333333333,1.35333333333333,567.7,3312.8,28.5625,20.1291666666667,0.780833333333333,1461.4,1029,36.6120075327806
"3","Kunjapanai","The Nilgiris",11.36647,76.93167,985,1,2005,17,"S61","0.9 m","0.9 m",3700,"Rainfed","Nil",NA,2500,"76.93167_11.36647",1057.5,31.375,20.2708333333333,1.35333333333333,567.7,3312.8,28.5625,20.1291666666667,0.780833333333333,1461.4,965,324.953016473091
"4","Kunjapanai","The Nilgiris",11.3646,76.93009,1060,2,1996,26,"S61","0.9 m","0.9 m",3700,"Rainfed","Nil",NA,2800,"76.93009_11.3646",1057.5,31.375,20.2708333333333,1.35333333333333,567.7,3312.8,28.5625,20.1291666666667,0.780833333333333,1461.4,1041,28.6148385400431
"5","Kunjapanai","The Nilgiris",11.3664,76.9302,991,1,2000,22,"S61","0.9 m","0.9 m",3700,"Rainfed","Nil","Urea",3200,"76.9302_11.3664",1057.5,31.375,20.2708333333333,1.35333333333333,567.7,3312.8,28.5625,20.1291666666667,0.780833333333333,1461.4,975,7.21791959899209
"6","Glen Burn Estate","The Nilgiris",11.363288,76.9093,1235,50,2005,17,"S61","0.9 m","0.9 m",3700,"Rainfed","Nil","Urea",4000,"76.9093_11.363288",1118.2,29.175,18.2166666666667,1.05041666666667,716.1,3759.8,26.5416666666667,18.2208333333333,0.557916666666667,2361.1,1166,325.963170581709
"7","Kodata Estate","The Nilgiris",11.4029,76.9313,1483,365,2000,22,"S61","0.9 m","0.9 m",3700,"Rainfed","Nil",NA,2800,"76.9313_11.4029",1143.7,28.1583333333333,17.2291666666667,1.01708333333333,678.8,3646.1,25.5291666666667,17.275,0.5625,2023.5,1458,225.378683298354
"8","Thambatty","The Nilgiris",11.3513,76.397,7088,0.5,1990,32,"S61","0.9 m","0.6 m",5500,"Rainfed","Nil",NA,3000,"76.397_11.3513",2382.3,31.4208333333333,21.3333333333333,1.11125,2743.4,10031.9,28.9833333333333,21.2666666666667,0.64625,6280.7,376,278.191133105073
"9","Thambatty","The Nilgiris",11.350978,76.68836,7183,1,1995,27,"S61","1.20 m","0.75 m",4500,"Rainfed","Nil",NA,2600,"76.68836_11.350978",1432.1,21.7458333333333,10.275,0.594166666666667,1612.4,5027,19.6083333333333,11.2291666666667,0.33125,4112.5,2165,290.311663857894
"10","Thambatty","The Nilgiris",11.348068,76.6889,7034,1,1985,37,"S61","0.75 m","0.75 m",5500,"Rainfed","Nil",NA,2900,"76.6889_11.348068",1432.1,21.7458333333333,10.275,0.594166666666667,1612.4,5027,19.6083333333333,11.2291666666667,0.33125,4112.5,2118,231.075911515966
"11","Thambatty","The Nilgiris",11.3447,76.6887,7124,0.5,2010,12,"S61","1.20 m","0.75 m",4500,"Rainfed","Nil",NA,3500,"76.6887_11.3447",1432.1,21.7458333333333,10.275,0.594166666666667,1612.4,5027,19.6083333333333,11.2291666666667,0.33125,4112.5,2148,314.627155388088
"12","Thambatty","The Nilgiris",11.33982,76.692843,6901,0.75,2010,12,"S61","1.20 m","0.75 m",4500,"Rainfed","Nil","Urea",4000,"76.692843_11.33982",1432.1,21.7458333333333,10.275,0.594166666666667,1612.4,5027,19.6083333333333,11.2291666666667,0.33125,4112.5,2085,7.44749343137882
"13","Thambatty","The Nilgiris",11.353725,76.68934,6984,1.5,1990,32,"S61","1.20 m","0.75 m",4500,"Rainfed","Nil","Urea",5000,"76.68934_11.353725",1432.1,21.7458333333333,10.275,0.594166666666667,1612.4,5027,19.6083333333333,11.2291666666667,0.33125,4112.5,2106,306.787539079815
"14","Thambatty","The Nilgiris",11.3512,76.68962,7144,1,1995,27,"S61","0.75 m","0.75 m",5500,"Rainfed","Nil","Urea",4000,"76.68962_11.3512",1432.1,21.7458333333333,10.275,0.594166666666667,1612.4,5027,19.6083333333333,11.2291666666667,0.33125,4112.5,2151,104.613356365723
"15","Thambatty","The Nilgiris",11.351622,76.69236,6809,1,1980,42,"S61","1.20 m","0.75 m",4500,"Rainfed","Nil",NA,2900,"76.69236_11.351622",1432.1,21.7458333333333,10.275,0.594166666666667,1612.4,5027,19.6083333333333,11.2291666666667,0.33125,4112.5,2056,38.7507149457197
"16","Thambatty","The Nilgiris",11.355,76.69462,6884,1.5,1975,47,"S61","0.9 m","0.6 m",5500,"Rainfed","Nil",NA,3000,"76.69462_11.355",1432.1,21.7458333333333,10.275,0.594166666666667,1612.4,5027,19.6083333333333,11.2291666666667,0.33125,4112.5,2060,198.660453683268
"17","Thambatty","The Nilgiris",11.3576,76.69627,6999,0.5,1985,37,"S61","0.75 m","0.75 m",5500,"Rainfed","Nil","Urea",4000,"76.69627_11.3576",1432.1,21.7458333333333,10.275,0.594166666666667,1612.4,5027,19.6083333333333,11.2291666666667,0.33125,4112.5,2108,146.752563821328
